time,id,x,y,w,h
2402.00 ,2 ,429.23 ,264.39 ,21.72 ,65.32 
2402.00 ,3 ,367.94 ,237.35 ,21.05 ,53.57 
2435.00 ,1 ,287.38 ,317.51 ,30.14 ,73.61 
2435.00 ,2 ,429.72 ,269.52 ,21.44 ,61.93 
2435.00 ,3 ,369.30 ,238.63 ,21.03 ,53.22 
2468.00 ,1 ,287.85 ,318.27 ,29.88 ,73.92 
2468.00 ,2 ,430.23 ,273.55 ,21.76 ,66.01 
2468.00 ,3 ,370.04 ,240.60 ,19.90 ,53.33 
2502.00 ,1 ,288.47 ,319.54 ,28.03 ,72.26 
2502.00 ,2 ,431.42 ,276.94 ,22.79 ,64.30 
2502.00 ,3 ,371.27 ,242.11 ,21.01 ,53.56 
2535.00 ,1 ,288.77 ,320.62 ,27.39 ,72.48 
2535.00 ,2 ,431.92 ,281.40 ,22.95 ,61.71 
2535.00 ,3 ,372.05 ,245.36 ,20.70 ,57.19 
2568.00 ,1 ,288.36 ,320.88 ,28.69 ,71.53 
2568.00 ,2 ,432.55 ,282.90 ,23.97 ,62.15 
2568.00 ,3 ,373.69 ,246.57 ,22.40 ,56.34 
2602.00 ,1 ,288.18 ,320.61 ,29.16 ,71.16 
2602.00 ,2 ,432.69 ,283.08 ,24.34 ,62.29 
2602.00 ,3 ,374.22 ,246.65 ,23.00 ,56.00 
2635.00 ,1 ,287.92 ,322.01 ,30.12 ,72.56 
2635.00 ,3 ,376.17 ,249.60 ,23.55 ,55.65 
2668.00 ,1 ,288.03 ,322.92 ,30.45 ,73.19 
2668.00 ,3 ,376.93 ,251.18 ,23.11 ,55.38 
2702.00 ,1 ,288.56 ,323.19 ,29.86 ,71.63 
2702.00 ,3 ,378.11 ,252.35 ,22.44 ,54.87 
2735.00 ,1 ,288.56 ,323.76 ,30.63 ,72.58 
2735.00 ,3 ,379.42 ,254.56 ,21.54 ,53.71 
2769.00 ,1 ,289.35 ,324.63 ,28.66 ,75.53 
2769.00 ,3 ,380.18 ,254.53 ,20.42 ,52.19 
2802.00 ,1 ,289.62 ,324.60 ,27.82 ,76.70 
2802.00 ,3 ,380.35 ,254.16 ,20.00 ,51.62 
2835.00 ,1 ,290.32 ,325.99 ,26.55 ,76.58 
2835.00 ,2 ,446.37 ,290.78 ,28.33 ,57.25 
2835.00 ,3 ,381.83 ,258.33 ,20.10 ,56.18 
2869.00 ,1 ,290.33 ,326.48 ,26.42 ,76.27 
2869.00 ,2 ,447.11 ,291.68 ,28.29 ,55.70 
2869.00 ,3 ,382.28 ,258.40 ,18.99 ,51.76 
2902.00 ,1 ,290.41 ,326.69 ,26.80 ,72.71 
2902.00 ,2 ,448.38 ,296.22 ,28.24 ,50.47 
2902.00 ,3 ,383.34 ,258.63 ,19.13 ,49.52 
2935.00 ,1 ,290.46 ,327.39 ,26.55 ,72.53 
2935.00 ,2 ,449.02 ,296.01 ,30.03 ,52.73 
2935.00 ,3 ,383.86 ,261.00 ,20.53 ,52.34 
2969.00 ,1 ,290.34 ,329.56 ,26.96 ,75.23 
2969.00 ,2 ,449.92 ,294.77 ,30.62 ,56.71 
2969.00 ,3 ,384.56 ,262.19 ,22.32 ,52.73 
3002.00 ,1 ,290.82 ,329.77 ,26.17 ,74.95 
3002.00 ,2 ,451.16 ,298.10 ,31.89 ,57.76 
3002.00 ,3 ,385.40 ,265.86 ,22.49 ,56.25 
