time,id,x,y,w,h
33.0,1.0,285.1759033203125,304.83892822265625,56.48357391357422,305.19024658203125
66.0,1.0,285.1800537109375,304.83477783203125,56.457908630371094,305.172607421875
99.00099999999999,1.0,284.9123840332031,304.41094970703125,57.59483337402344,305.66436767578125
133.0,1.0,284.64752197265625,304.21075439453125,59.2382926940918,305.90179443359375
165.99999999999997,1.0,284.0980224609375,305.245361328125,58.90971755981445,309.844970703125
198.99999999999997,1.0,283.9096984863281,305.7112731933594,58.77370834350586,311.19873046875
232.99999999999997,1.0,283.7669677734375,305.73626708984375,58.12725830078125,311.0571594238281
266.0,1.0,283.95635986328125,305.58111572265625,57.57648849487305,308.9522705078125
299.0,1.0,283.9871826171875,305.94207763671875,57.81117630004883,309.95458984375
332.99999999999994,1.0,283.8992614746094,306.0669250488281,57.97937774658203,310.5294189453125
366.0,1.0,283.88641357421875,306.16412353515625,58.24422073364258,310.2120056152344
399.99999999999994,1.0,283.9622802734375,306.00665283203125,58.446563720703125,309.83331298828125
433.0,1.0,284.0449523925781,305.9107360839844,58.394378662109375,309.02398681640625
465.99999999999994,1.0,284.076904296875,305.7917175292969,58.65170669555664,307.19097900390625
500.0,1.0,284.33636474609375,305.9317626953125,58.086517333984375,308.5557861328125
533.0,1.0,284.3199462890625,306.3292236328125,57.46715545654297,309.2189636230469
566.0,1.0,284.34478759765625,306.52020263671875,57.17706298828125,309.30877685546875
600.0,1.0,284.5496826171875,306.6461486816406,55.94279479980469,310.17181396484375
633.0,1.0,285.06597900390625,306.60565185546875,52.29175567626953,307.63812255859375
665.9999999999999,1.0,285.1578369140625,306.6612548828125,51.806007385253906,307.5653076171875
700.0,1.0,285.20916748046875,306.7318115234375,51.606544494628906,307.4638366699219
733.0,1.0,285.59844970703125,306.50360107421875,48.68672561645508,306.66998291015625
767.0,1.0,285.869384765625,306.691650390625,46.30820846557617,305.324462890625
799.9999999999999,1.0,285.7410888671875,306.79376220703125,46.470611572265625,307.74798583984375
